instance,edges,n_types,large_type,alpha,p_narrow,p_restricted,beta_normal,beta_narrow,beta_restricted,Q3,n_normal,n_narrow,n_restricted,beta_min,beta_max,seed
egl10,98,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,83,10,5,0.8,4.28,2420687402
egl11,98,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,86,10,2,0.8,3.38,3880776380
egl12,98,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,79,13,6,0.8,4.63,2118558470
egl13,190,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,163,14,13,0.8,4.83,155292560
egl14,190,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,171,14,5,0.8,4.75,2535786035
egl15,190,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,160,22,8,0.8,5.0,3760338597
egl16,190,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,163,15,12,0.8,4.84,2032887583
egl17,190,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,167,14,9,0.8,4.99,237787017
egl18,190,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,162,18,10,0.8,4.93,2660452888
egl19,190,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,166,15,9,0.8,4.96,3918822030
egl1,98,2,2,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,86,9,3,0.8,4.6,4172424947
egl20,190,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,157,19,14,0.8,4.71,3143995881
egl21,190,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,161,20,9,0.8,4.83,3429015935
egl22,190,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,162,19,9,0.8,4.74,1433137349
egl23,190,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,160,17,13,0.8,4.89,577552467
egl24,190,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,159,17,14,0.8,4.63,3154662896
egl2,98,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,84,10,4,0.81,4.64,1639675721
egl3,98,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,90,7,1,0.8,4.82,381437919
egl4,98,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,80,13,5,0.8,4.7,2295911036
egl5,98,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,87,9,2,0.8,4.39,4292862698
egl6,98,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,78,14,6,0.8,4.64,1725346640
egl7,98,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,87,4,7,0.8,4.8,298943430
egl8,98,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,89,8,1,0.8,3.48,2171510359
egl9,98,2,1,0.7,0.1,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,83,7,8,0.8,4.96,4134121153
