instance,edges,large_type,n_normal,n_narrow,n_restricted,beta_min,beta_max,seed
gdb10,25,1,19,5,1,0.81,4.13,4070773678
gdb11,45,1,37,7,1,0.8,3.56,2242126648
gdb12,23,1,16,6,1,0.8,3.07,481129090
gdb13,28,1,18,7,3,0.81,4.14,1806320148
gdb14,21,1,13,8,0,0.82,2.43,4123973559
gdb15,21,1,12,7,2,0.81,4.75,2194269985
gdb16,28,1,19,6,3,0.82,4.74,465614491
gdb17,28,1,21,4,3,0.8,4.3,1825015309
gdb18,36,1,22,12,2,0.81,3.54,4235762588
gdb19,11,1,8,2,1,0.81,3.95,2340399882
gdb1,22,1,13,9,0,0.81,2.5,3464396207
gdb20,22,1,17,4,1,0.8,3.58,3649978477
gdb21,33,1,25,8,0,0.8,2.46,2928242939
gdb22,44,1,28,13,3,0.82,5.0,931144001
gdb23,55,1,40,9,6,0.81,4.97,1082593751
gdb2,26,1,20,5,1,0.8,4.45,1467427861
gdb3,22,2,16,6,0,0.81,2.1,544218243
gdb4,19,1,14,2,3,0.82,4.56,3189016864
gdb5,26,1,19,6,1,0.8,3.38,3373513142
gdb6,22,1,11,9,2,0.8,3.71,1343940620
gdb7,22,1,17,4,1,0.81,3.19,656267418
gdb8,46,1,28,15,3,0.81,4.77,3080897803
gdb9,51,1,36,12,3,0.8,4.41,3232101789
