instance,edges,n_types,large_type,alpha,p_narrow,p_restricted,beta_normal,beta_narrow,beta_restricted,Q3,n_normal,n_narrow,n_restricted,beta_min,beta_max,seed
gdb10,25,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,15,8,2,0.81,4.13,4070773678
gdb11,45,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,28,15,2,0.8,3.69,2242126648
gdb12,23,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,12,9,2,0.8,3.84,481129090
gdb13,28,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,17,8,3,0.81,4.14,1806320148
gdb14,21,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,10,10,1,0.83,3.2,4123973559
gdb15,21,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,6,12,3,0.81,4.75,2194269985
gdb16,28,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,12,11,5,0.83,4.74,465614491
gdb17,28,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,14,11,3,0.81,4.3,1825015309
gdb18,36,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,18,9,9,0.83,4.74,4235762588
gdb19,11,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,6,4,1,0.81,3.95,2340399882
gdb1,22,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,8,12,2,0.81,4.49,3464396207
gdb20,22,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,11,10,1,0.8,3.58,3649978477
gdb21,33,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,22,10,1,0.8,4.69,2928242939
gdb22,44,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,20,19,5,0.82,5.0,931144001
gdb23,55,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,30,17,8,0.81,4.97,1082593751
gdb2,26,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,18,5,3,0.8,4.45,1467427861
gdb3,22,2,2,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,10,10,2,0.83,3.91,544218243
gdb4,19,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,13,3,3,0.82,4.56,3189016864
gdb5,26,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,17,7,2,0.8,3.38,3373513142
gdb6,22,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,8,10,4,0.8,4.61,1343940620
gdb7,22,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,12,9,1,0.81,3.19,656267418
gdb8,46,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,24,17,5,0.81,4.95,3080897803
gdb9,51,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,28,20,3,0.8,4.41,3232101789
